Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,Consent object-7 Response,Consent object-7 Quantised
1,1744744239603,15/04/2025 19:10,1744755039603,3.5,16/04/2025 01:10,215994,4,questionnaire-jdx2,,45432171,BLINDED,13202776,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.135,393x873,392x736,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744746469169,15/04/2025 19:47,1744757269169,3.5,16/04/2025 01:47,215994,4,questionnaire-jdx2,,45433312,BLINDED,13203127,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,390x844,390x648,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744746472817,15/04/2025 19:47,1744757272817,3.5,16/04/2025 01:47,215994,4,questionnaire-jdx2,,45433324,BLINDED,13203132,,complete,,,mobile,undefined K,Android 11,Chrome 117.0.0.0,360x800,360x667,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744748493159,15/04/2025 20:21,1744759293159,3.5,16/04/2025 02:21,215994,4,questionnaire-jdx2,,45434404,BLINDED,13203415,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.3,1024x1366,1024x1259,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744747637411,15/04/2025 20:07,1744758437411,3.5,16/04/2025 02:07,215994,4,questionnaire-jdx2,,45434009,BLINDED,13203295,,complete,,,mobile,Samsung SM-A556E,Android 14,Instagram 375.0.0.38.66,384x832,384x704,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744749967862,15/04/2025 20:46,1744760767862,3.5,16/04/2025 02:46,215994,4,questionnaire-jdx2,,45435089,BLINDED,13203571,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,412x883,411x752,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744750990620,15/04/2025 21:03,1744761790620,3.5,16/04/2025 03:03,215994,4,questionnaire-jdx2,,45435515,BLINDED,13203676,,live,,,mobile,Xiaomi M2103K19PG,Android 13,Instagram 375.0.0.38.66,393x873,392x740,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744751555063,15/04/2025 21:12,1744762355063,3,16/04/2025 03:12,215994,4,questionnaire-jdx2,,45435737,BLINDED,13203731,,live,,,mobile,Apple iPhone,iOS 18.3.1,Instagram 376.0.0.24.82,430x932,430x738,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744751952471,15/04/2025 21:19,1744762752471,3.5,16/04/2025 03:19,215994,4,questionnaire-jdx2,,45435993,BLINDED,13203831,,complete,,,mobile,Apple iPhone,iOS 15.8.3,Instagram 375.2.0.33.77,375x667,375x566,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744752393895,15/04/2025 21:26,1744763193895,3.5,16/04/2025 03:26,215994,4,questionnaire-jdx2,,45436205,BLINDED,13203893,,live,,,mobile,Samsung SM-A307FN,Android 11,Instagram 375.0.0.38.66,412x892,411x765,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744753821325,15/04/2025 21:50,1744764621325,3.5,16/04/2025 03:50,215994,4,questionnaire-jdx2,,45436701,BLINDED,13204021,,complete,,,mobile,Apple iPhone,iOS 16.6.1,Chrome 135.0.7049.83,393x852,393x665,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744758439384,15/04/2025 23:07,1744769239384,3.5,16/04/2025 05:07,215994,4,questionnaire-jdx2,,45437684,BLINDED,13204332,,live,,,mobile,Samsung SM-A307GN,Android 11,Instagram 375.0.0.38.66,412x892,411x765,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744780016701,16/04/2025 05:06,1744790816701,3.5,16/04/2025 11:06,215994,4,questionnaire-jdx2,,45440589,BLINDED,13205147,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,384x854,384x718,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744781990297,16/04/2025 05:39,1744792790297,3.5,16/04/2025 11:39,215994,4,questionnaire-jdx2,,45440887,BLINDED,13205235,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.135,384x832,384x701,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744784080034,16/04/2025 06:14,1744794880034,3.5,16/04/2025 12:14,215994,4,questionnaire-jdx2,,45441341,BLINDED,13205369,,live,,,mobile,undefined K,Android 11,Chrome 134.0.6998.135,412x869,411x732,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744788894222,16/04/2025 07:34,1744799694222,3.5,16/04/2025 13:34,215994,4,questionnaire-jdx2,,45442443,BLINDED,13205699,,live,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,384x832,384x700,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744792900799,16/04/2025 08:41,1744803700799,3.5,16/04/2025 14:41,215994,4,questionnaire-jdx2,,45444007,BLINDED,13206213,,live,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3.1,430x932,430x729,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744799860382,16/04/2025 10:37,1744810660382,3.5,16/04/2025 16:37,215994,4,questionnaire-jdx2,,45447487,BLINDED,13207292,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 135.0.0.0,412x915,980x1847,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744808326066,16/04/2025 12:58,1744819126066,3.5,16/04/2025 18:58,215994,4,questionnaire-jdx2,,45451502,BLINDED,13208519,,complete,,,mobile,Apple iPhone,iOS 18.3.1,Instagram 375.2.0.33.77,414x896,414x713,,,0,Consent form Tondro,2,consent,موافقم.,1
1,1744811094117,16/04/2025 13:44,1744821894117,3.5,16/04/2025 19:44,215994,4,questionnaire-jdx2,,45453216,BLINDED,13208991,,complete,,,mobile,Apple iPhone,iOS 18.3,Mobile Safari 18.3,428x926,428x730,,,0,Consent form Tondro,2,consent,موافقم.,1
